datetime;demand
2024-01-02T01:15:00.000+01:00;19991
2024-01-02T01:20:00.000+01:00;19906
2024-01-02T01:25:00.000+01:00;19796
2024-01-02T01:30:00.000+01:00;19602
2024-01-02T01:35:00.000+01:00;19517
2024-01-02T01:40:00.000+01:00;19358
2024-01-02T01:45:00.000+01:00;19407
2024-01-02T01:50:00.000+01:00;19266
2024-01-02T01:55:00.000+01:00;19099
2024-01-02T02:00:00.000+01:00;19013
2024-01-02T02:05:00.000+01:00;19039
2024-01-02T02:10:00.000+01:00;18960
2024-01-02T02:15:00.000+01:00;18824
2024-01-02T02:20:00.000+01:00;18740
2024-01-02T02:25:00.000+01:00;18744
2024-01-02T02:30:00.000+01:00;18787
2024-01-02T02:35:00.000+01:00;18704
2024-01-02T02:40:00.000+01:00;18577
2024-01-02T02:45:00.000+01:00;18514
2024-01-02T02:50:00.000+01:00;18536
2024-01-02T02:55:00.000+01:00;18462
2024-01-02T03:00:00.000+01:00;18393
2024-01-02T03:05:00.000+01:00;18425
2024-01-02T03:10:00.000+01:00;18443
2024-01-02T03:15:00.000+01:00;18411
2024-01-02T03:20:00.000+01:00;18431
2024-01-02T03:25:00.000+01:00;18329
2024-01-02T03:30:00.000+01:00;18306
2024-01-02T03:35:00.000+01:00;18265
2024-01-02T03:40:00.000+01:00;18285
2024-01-02T03:45:00.000+01:00;18196
2024-01-02T03:50:00.000+01:00;18243
2024-01-02T03:55:00.000+01:00;18226
2024-01-02T04:00:00.000+01:00;18269
2024-01-02T04:05:00.000+01:00;18322
2024-01-02T04:10:00.000+01:00;18287
2024-01-02T04:15:00.000+01:00;18328
2024-01-02T04:20:00.000+01:00;18343
2024-01-02T04:25:00.000+01:00;18351
2024-01-02T04:30:00.000+01:00;18219
2024-01-02T04:35:00.000+01:00;18330
2024-01-02T04:40:00.000+01:00;18350
2024-01-02T04:45:00.000+01:00;18347
2024-01-02T04:50:00.000+01:00;18420
2024-01-02T04:55:00.000+01:00;18348
2024-01-02T05:00:00.000+01:00;18434
2024-01-02T05:05:00.000+01:00;18609
2024-01-02T05:10:00.000+01:00;18742
2024-01-02T05:15:00.000+01:00;18802
2024-01-02T05:20:00.000+01:00;18951
2024-01-02T05:25:00.000+01:00;19034
2024-01-02T05:30:00.000+01:00;18945
2024-01-02T05:35:00.000+01:00;19101
2024-01-02T05:40:00.000+01:00;19221
2024-01-02T05:45:00.000+01:00;19342
2024-01-02T05:50:00.000+01:00;19363
2024-01-02T05:55:00.000+01:00;19614
2024-01-02T06:00:00.000+01:00;19887
2024-01-02T06:05:00.000+01:00;20503
2024-01-02T06:10:00.000+01:00;21033
2024-01-02T06:15:00.000+01:00;21212
2024-01-02T06:20:00.000+01:00;21441
2024-01-02T06:25:00.000+01:00;21562
2024-01-02T06:30:00.000+01:00;21800
2024-01-02T06:35:00.000+01:00;22027
2024-01-02T06:40:00.000+01:00;22205
2024-01-02T06:45:00.000+01:00;22487
2024-01-02T06:50:00.000+01:00;22818
2024-01-02T06:55:00.000+01:00;23140
2024-01-02T07:00:00.000+01:00;23383
2024-01-02T07:05:00.000+01:00;24186
2024-01-02T07:10:00.000+01:00;24631
2024-01-02T07:15:00.000+01:00;24755
2024-01-02T07:20:00.000+01:00;24982
2024-01-02T07:25:00.000+01:00;25104
2024-01-02T07:30:00.000+01:00;25442
2024-01-02T07:35:00.000+01:00;25845
2024-01-02T07:40:00.000+01:00;26057
2024-01-02T07:45:00.000+01:00;26303
2024-01-02T07:50:00.000+01:00;26432
2024-01-02T07:55:00.000+01:00;26586
2024-01-02T08:00:00.000+01:00;27006
2024-01-02T08:05:00.000+01:00;27327
2024-01-02T08:10:00.000+01:00;27388
2024-01-02T08:15:00.000+01:00;27821
2024-01-02T08:20:00.000+01:00;27954
2024-01-02T08:25:00.000+01:00;28177
2024-01-02T08:30:00.000+01:00;28311
2024-01-02T08:35:00.000+01:00;28410
2024-01-02T08:40:00.000+01:00;28451
2024-01-02T08:45:00.000+01:00;28470
2024-01-02T08:50:00.000+01:00;28664
2024-01-02T08:55:00.000+01:00;28865
2024-01-02T09:00:00.000+01:00;28931
2024-01-02T09:05:00.000+01:00;29285
2024-01-02T09:10:00.000+01:00;29533
2024-01-02T09:15:00.000+01:00;29594
2024-01-02T09:20:00.000+01:00;29845
2024-01-02T09:25:00.000+01:00;29821
2024-01-02T09:30:00.000+01:00;29930
2024-01-02T09:35:00.000+01:00;30066
2024-01-02T09:40:00.000+01:00;30082
2024-01-02T09:45:00.000+01:00;30144
2024-01-02T09:50:00.000+01:00;30245
2024-01-02T09:55:00.000+01:00;30304
2024-01-02T10:00:00.000+01:00;30426
2024-01-02T10:05:00.000+01:00;30472
2024-01-02T10:10:00.000+01:00;30498
2024-01-02T10:15:00.000+01:00;30577
2024-01-02T10:20:00.000+01:00;30703
2024-01-02T10:25:00.000+01:00;30682
2024-01-02T10:30:00.000+01:00;30650
2024-01-02T10:35:00.000+01:00;30648
2024-01-02T10:40:00.000+01:00;30592
2024-01-02T10:45:00.000+01:00;30591
2024-01-02T10:50:00.000+01:00;30527
2024-01-02T10:55:00.000+01:00;30525
2024-01-02T11:00:00.000+01:00;30354
2024-01-02T11:05:00.000+01:00;30520
2024-01-02T11:10:00.000+01:00;30429
2024-01-02T11:15:00.000+01:00;30398
2024-01-02T11:20:00.000+01:00;30398
2024-01-02T11:25:00.000+01:00;30372
2024-01-02T11:30:00.000+01:00;30242
2024-01-02T11:35:00.000+01:00;30300
2024-01-02T11:40:00.000+01:00;30368
2024-01-02T11:45:00.000+01:00;30260
2024-01-02T11:50:00.000+01:00;30338
2024-01-02T11:55:00.000+01:00;30280
2024-01-02T12:00:00.000+01:00;30451
2024-01-02T12:05:00.000+01:00;30278
2024-01-02T12:10:00.000+01:00;30293
2024-01-02T12:15:00.000+01:00;30169
2024-01-02T12:20:00.000+01:00;30407
2024-01-02T12:25:00.000+01:00;30290
2024-01-02T12:30:00.000+01:00;30539
2024-01-02T12:35:00.000+01:00;30461
2024-01-02T12:40:00.000+01:00;30420
2024-01-02T12:45:00.000+01:00;30458
2024-01-02T12:50:00.000+01:00;30411
2024-01-02T12:55:00.000+01:00;30430
2024-01-02T13:00:00.000+01:00;30541
2024-01-02T13:05:00.000+01:00;30620
2024-01-02T13:10:00.000+01:00;30759
2024-01-02T13:15:00.000+01:00;30772
2024-01-02T13:20:00.000+01:00;30894
2024-01-02T13:25:00.000+01:00;31019
2024-01-02T13:30:00.000+01:00;30876
2024-01-02T13:35:00.000+01:00;30804
2024-01-02T13:40:00.000+01:00;30963
2024-01-02T13:45:00.000+01:00;30968
2024-01-02T13:50:00.000+01:00;31122
2024-01-02T13:55:00.000+01:00;31055
2024-01-02T14:00:00.000+01:00;30810
2024-01-02T14:05:00.000+01:00;30895
2024-01-02T14:10:00.000+01:00;30984
2024-01-02T14:15:00.000+01:00;31106
2024-01-02T14:20:00.000+01:00;31052
2024-01-02T14:25:00.000+01:00;31076
2024-01-02T14:30:00.000+01:00;30953
2024-01-02T14:35:00.000+01:00;31039
2024-01-02T14:40:00.000+01:00;31072
2024-01-02T14:45:00.000+01:00;30924
2024-01-02T14:50:00.000+01:00;30901
2024-01-02T14:55:00.000+01:00;30912
2024-01-02T15:00:00.000+01:00;30751
2024-01-02T15:05:00.000+01:00;30630
2024-01-02T15:10:00.000+01:00;30586
2024-01-02T15:15:00.000+01:00;30492
2024-01-02T15:20:00.000+01:00;30558
2024-01-02T15:25:00.000+01:00;30621
2024-01-02T15:30:00.000+01:00;30581
