datetime_utc,demanda,programada,prevista
2018-09-24 00:00:00+0000,30546.819444444445,30558.82638888889,30558.82638888889
2018-09-25 00:00:00+0000,30734.3125,30702.444444444445,30702.444444444445
2018-09-26 00:00:00+0000,30440.770833333332,30513.145833333332,30513.145833333332
2018-09-27 00:00:00+0000,30087.645833333332,30106.069444444445,30106.069444444445
2018-09-28 00:00:00+0000,29687.368055555555,29722.180555555555,29722.180555555555
2018-09-29 00:00:00+0000,26143.70138888889,26172.284722222223,26172.284722222223
2018-09-30 00:00:00+0000,24262.454545454544,24325.522727272728,24325.522727272728
2018-09-30 00:00:00+0000,23242.916666666668,23188.5,23188.5
2018-10-01 00:00:00+0000,28742.541666666668,28747.993055555555,28747.993055555555
2018-10-02 00:00:00+0000,28949.291666666668,28920.04861111111,28920.04861111111
2018-10-03 00:00:00+0000,29130.277777777777,29181.090277777777,29181.090277777777
2018-10-04 00:00:00+0000,29215.909722222223,29228.479166666668,29228.479166666668
2018-10-05 00:00:00+0000,28798.506944444445,28830.083333333332,28830.083333333332
2018-10-06 00:00:00+0000,25617.0,25617.409722222223,25617.409722222223
2018-10-07 00:00:00+0000,23647.5625,23678.45138888889,23678.45138888889
2018-10-08 00:00:00+0000,27759.402777777777,27742.3125,27742.3125
2018-10-09 00:00:00+0000,27903.604166666668,27956.618055555555,27956.618055555555
2018-10-10 00:00:00+0000,28466.993055555555,28467.222222222223,28467.222222222223
2018-10-11 00:00:00+0000,28303.972222222223,28312.48611111111,28312.48611111111
2018-10-12 00:00:00+0000,24303.534722222223,24376.909722222223,24376.909722222223
2018-10-13 00:00:00+0000,24556.23611111111,24565.402777777777,24565.402777777777
2018-10-14 00:00:00+0000,23341.979166666668,23366.708333333332,23366.708333333332
2018-10-15 00:00:00+0000,27664.090277777777,27621.875,27621.875
2018-10-16 00:00:00+0000,28375.4375,28384.305555555555,28384.305555555555
2018-10-17 00:00:00+0000,28646.625,28679.895833333332,28679.895833333332
2018-10-18 00:00:00+0000,28612.6875,28608.104166666668,28608.104166666668
2018-10-19 00:00:00+0000,28322.159722222223,28314.291666666668,28314.291666666668
2018-10-20 00:00:00+0000,25009.25,25075.1875,25075.1875
2018-10-21 00:00:00+0000,23348.847222222223,23378.70138888889,23378.70138888889
2018-10-22 00:00:00+0000,27843.29861111111,27870.840277777777,27870.840277777777
2018-10-23 00:00:00+0000,28369.930555555555,28361.958333333332,28361.958333333332
2018-10-24 00:00:00+0000,28270.95138888889,28299.145833333332,28299.145833333332
2018-10-25 00:00:00+0000,28320.583333333332,28332.881944444445,28332.881944444445
2018-10-26 00:00:00+0000,28357.652777777777,28312.88888888889,28312.88888888889
2018-10-27 00:00:00+0000,25323.909722222223,25322.25,25322.25
2018-10-28 00:00:00+0000,24156.11111111111,24190.979166666668,24190.979166666668
2018-10-29 00:00:00+0000,29800.652777777777,29754.194444444445,29754.194444444445
2018-10-30 00:00:00+0000,30842.666666666668,30936.284722222223,30936.284722222223
2018-10-31 00:00:00+0000,30706.072463768116,30841.702898550724,30841.702898550724
2018-10-31 00:00:00+0000,26598.833333333332,26654.833333333332,26654.833333333332
2018-11-01 00:00:00+0000,25774.70138888889,25767.784722222223,25767.784722222223
2018-11-02 00:00:00+0000,27548.770833333332,27509.805555555555,27509.805555555555
2018-11-03 00:00:00+0000,26007.3125,25983.340277777777,25983.340277777777
2018-11-04 00:00:00+0000,24710.347222222223,24725.708333333332,24725.708333333332
2018-11-05 00:00:00+0000,29889.416666666668,29875.979166666668,29875.979166666668
2018-11-06 00:00:00+0000,30697.20138888889,30693.131944444445,30693.131944444445
2018-11-07 00:00:00+0000,30702.743055555555,30670.3125,30670.3125
2018-11-08 00:00:00+0000,30784.98611111111,30828.51388888889,30828.51388888889
2018-11-09 00:00:00+0000,30248.70138888889,30224.131944444445,30224.131944444445
2018-11-10 00:00:00+0000,27022.645833333332,26977.708333333332,26977.708333333332
2018-11-11 00:00:00+0000,24914.45138888889,24870.354166666668,24870.354166666668
2018-11-12 00:00:00+0000,29685.222222222223,29743.493055555555,29743.493055555555
2018-11-13 00:00:00+0000,29938.520833333332,29961.006944444445,29961.006944444445
2018-11-14 00:00:00+0000,29894.090277777777,29934.833333333332,29934.833333333332
2018-11-15 00:00:00+0000,29881.868055555555,29904.67361111111,29904.67361111111
2018-11-16 00:00:00+0000,29590.54861111111,29621.98611111111,29621.98611111111
2018-11-17 00:00:00+0000,26279.17361111111,26302.98611111111,26302.98611111111
2018-11-18 00:00:00+0000,24919.04861111111,24939.527777777777,24939.527777777777
2018-11-19 00:00:00+0000,29864.51388888889,29891.090277777777,29891.090277777777
2018-11-20 00:00:00+0000,30888.75,30855.916666666668,30855.916666666668
2018-11-21 00:00:00+0000,31019.652777777777,31032.402777777777,31032.402777777777
2018-11-22 00:00:00+0000,31206.32638888889,31195.79861111111,31195.79861111111
2018-11-23 00:00:00+0000,30979.13888888889,30975.104166666668,30975.104166666668
2018-11-24 00:00:00+0000,27701.527777777777,27726.8125,27726.8125
2018-11-25 00:00:00+0000,26130.097222222223,26129.1875,26129.1875
2018-11-26 00:00:00+0000,31011.618055555555,31058.0,31058.0
2018-11-27 00:00:00+0000,31576.229166666668,31579.354166666668,31579.354166666668
2018-11-28 00:00:00+0000,31670.63888888889,31659.9375,31659.9375
2018-11-29 00:00:00+0000,31805.75,31775.430555555555,31775.430555555555
2018-11-30 00:00:00+0000,31460.239130434784,31480.043478260868,31480.043478260868
2018-11-30 00:00:00+0000,27738.5,27891.5,27891.5
2018-12-01 00:00:00+0000,27931.166666666668,27978.770833333332,27978.770833333332
2018-12-02 00:00:00+0000,25990.493055555555,25978.069444444445,25978.069444444445
2018-12-03 00:00:00+0000,30523.4375,30553.11111111111,30553.11111111111
2018-12-04 00:00:00+0000,30763.506944444445,30797.88888888889,30797.88888888889
2018-12-05 00:00:00+0000,30548.23611111111,30521.916666666668,30521.916666666668
2018-12-06 00:00:00+0000,26682.041666666668,26700.45138888889,26700.45138888889
